7;79.05482:19037 101.85246:1920 105.07017:30562 107.08573:57784
9;65.03931:5159 72.96639:2354 81.07049:24364 107.08587:2545 109.07625:60118
11;64.14223:1784 110.06016:2516
14;56.05025:4515 68.05005:7102 74.37424:2312 82.06567:47177 84.0813:2970116 98.0603:11328 120.98091:8492 126.05519:143400 126.12785:1099664
15;63.35292:1918 86.04492:3155 86.09694:1090502 113.06287:2340 115.03921:23836 132.10214:35315
16;56.9183:4930 77.03931:3776 105.04508:19279 128.63989:2023
18;61.10471:1920 78.1701:1885 83.08238:1997 105.07014:13384 135.08061:54863
22;55.05499:17509 79.05491:2364 83.08612:23525 118.96769:2260
25;85.07654:7479 108.06829:2222 145.07639:9498
27;64.04835:2152 111.0444:4156 121.02866:33829
29;60.04514:12127 84.08133:2894 93.07034:14553 140.03459:2451 154.05042:10562 154.12283:938637
30;60.87354:1732 74.38355:2078
31;59.04989:12618 69.07056:9911 72.93777:55366 81.03146:2041 108.95847:13306 119.08583:5245
33;54.62862:1757 81.07048:4201 87.04463:5164 95.08591:7829 99.08086:43819 158.09674:18578
35;54.50438:2140 55.93518:34385 60.04514:38863 72.93783:203976 85.01126:13489 90.94823:195556 99.9483:11392 101.06007:40640 107.95081:9092 113.96392:273416 125.96111:15970 130.96687:6161 147.97015:17720 149.98517:233099 160.16061:61943
36;55.05502:2964 60.04513:36960 69.04542:23572 74.06071:32935 84.0816:10078 85.01115:18376 101.06004:54056 108.95849:4359 109.0286:26985 114.05515:147959 128.07072:7971 131.97446:34301 160.06067:152431
38;65.03943:6556 79.05492:39808 105.07021:24281 119.06077:6646 163.0757:31848
40;53.00306:3051 65.03935:2956 72.04517:11184 83.08611:150478 97.10157:213382 105.07009:8931 117.06989:14622 125.09629:234167 152.10721:21371 170.11775:252039
42;71.23856:1766 83.08609:29772 101.996:2215 120.0326:5190 138.04359:3257 171.06325:8397
44;55.05493:29206 67.05492:1004661 79.05477:24004 88.03984:41399 91.05471:58964 107.08568:21143 109.10135:1097038 116.05274:3506 137.09625:72640 173.11748:775200
45;60.04513:9890 74.09717:3013 79.05481:37610 88.03982:69832 89.94044:16784 95.08592:1007566 107.08583:14966 109.10135:421325 116.05299:8150 130.96652:22603 154.1228:3555750 172.13338:3263306
49;53.00296:16668 62.06076:280141 69.07063:11773 76.02212:18227 93.07035:6168 118.0321:14884 130.15933:7424 139.07571:11869 151.07884:59922 174.18538:6037652
55;55.05502:3795 67.05497:21545 91.05473:130491 98.96201:3285 105.07018:54129 116.97206:39500 125.09641:13225 146.54984:1985
56;56.94296:14399 84.05181:2088 90.94828:12718 127.01565:30595 154.99048:20182
58;55.05497:35836 67.05499:2984 81.07038:11466 88.07621:28525 97.0653:3864 126.05518:4383 146.96127:2264 186.11273:240634
60;55.05495:14628 64.6593:1684 67.05501:6634 79.05486:9826 93.07035:4976 125.09628:21931 170.05478:7709
64;65.03937:13480 70.06578:119690 74.09703:2845 85.01112:8924 88.07619:109448 97.00795:7917 121.02853:14810 130.08644:8758 149.02351:70123 172.1698:29984 190.12621:1055254
66;56.23235:1633 59.04995:24409 75.56305:2074 81.19852:1727 87.04457:3578 149.95361:2077 163.07875:4529
67;55.055:2184 70.06576:2428 95.01627:6704 102.05531:23306 146.04477:2890 161.08066:2204 192.05084:4759 192.12329:65573
68;65.03934:5677 72.93777:1914 100.07598:14459 116.05277:2269 192.13858:387637
69;57.03427:27867 67.05502:3551 81.07043:6850 99.0808:6430 109.10149:4084 175.07582:3448 193.12291:22608
71;55.05499:11340 67.05489:11109 72.08146:2591 86.06048:3566 91.05469:5472 107.08586:13794 114.09152:3953 129.41422:2624 135.11705:38412 198.14919:106894
72;66.9632:1640 81.49567:1746 125.9763:1971
75;56.05022:2609 57.07071:11021 72.08146:4659 92.97846:2314 156.96655:3193 198.18561:430018
77;67.05494:65578 72.93779:28779 79.05489:14685 95.04961:2731 107.95083:9124 121.10139:15142 125.96117:19002 131.97429:4861 135.94562:18597 153.95613:19312 158.96155:63932 200.1649:37296
79;55.05497:9509 55.93515:33815 69.07063:13150 74.06074:28779 88.07623:92117 100.0759:4481 116.10699:12185 135.94537:3721 158.96143:25052 200.20119:1237947
80;55.05499:4146 56.94291:11485 71.04984:10514 79.05492:5879 89.96404:9838 93.07055:4638 101.96385:3233 115.97952:25569 119.08576:7095 127.05041:174078 147.11687:6090 159.07689:3731 168.50552:2302 177.95644:7541 200.97282:7349
81;60.04532:1781 67.05497:19227 79.05482:32498 86.06062:12517 114.12782:7203 138.12785:21396 139.11203:35595 170.11679:2473 202.18042:12441
82;57.07062:21282 67.05511:2398 86.06087:2472 105.07015:3217 142.15927:35976 167.07091:2323 202.18047:211635
83;57.07075:2467 75.07494:1843 81.07043:5927 95.08581:2136 149.09633:7485 167.10707:27708 202.1805:325926
84;72.04503:12655 107.08566:4463 142.49179:1874 149.09637:5082 161.99281:5272 174.18552:107057 202.1804:133425
85;53.99819:5690 69.07064:6108 83.08607:5181 105.07022:4392 149.09639:15533 181.39227:2617 202.09822:3166
91;56.90537:2984 70.0658:323399 81.00082:39261 87.04448:15560 96.99553:62309 102.09164:61343 106.08646:95614 115.00574:7480 121.00781:33771 136.05511:11344 150.0408:39055 153.05792:21007 169.12248:6415 179.05782:19164 188.10719:529818 204.19592:4280872
92;57.07071:3350 88.07614:12593 156.17491:25366 181.08911:3468 204.19621:134994
93;57.07063:31507 111.04422:14713 135.97041:2347 167.03406:7716
94;58.06586:6641 74.06068:95298 86.06055:208481 88.0398:268928 100.07607:6633 114.05512:226265 128.07079:8029 144.10213:6374 146.08139:8968 150.02679:24275 172.11578:6738 189.10251:9846
95;53.00304:2317 55.05495:10737 72.04505:3204 83.04971:3919 83.06091:31578 89.06019:84045 97.06532:2069 105.0703:9850 117.09117:7515 124.08711:25367 148.08711:16797 161.13225:3162 207.00313:3462 207.12442:54194
98;87.0446:65727 103.07587:3872 164.07112:2088 210.00468:7404
99;57.07058:60602 65.03925:7660 67.05492:144758 79.05482:102097 86.06056:39717 91.05468:53976 105.0701:15863 109.10136:38362 147.11685:3211 159.11702:53700 166.15926:488480 177.12753:41325 212.16472:1585504
100;64.82754:2137 69.0706:50728 81.07048:22566 93.07021:7115 152.14388:3479 170.15428:61408 195.12303:65111
